audio_path,target,fold
data/blues/blues.00000.au,blues,1
data/blues/blues.00001.au,blues,1
data/blues/blues.00002.au,blues,0
data/blues/blues.00003.au,blues,3
data/blues/blues.00004.au,blues,0
data/blues/blues.00005.au,blues,4
data/blues/blues.00006.au,blues,2
data/blues/blues.00007.au,blues,0
data/blues/blues.00008.au,blues,0
data/blues/blues.00009.au,blues,4
data/blues/blues.00010.au,blues,2
data/blues/blues.00011.au,blues,1
data/blues/blues.00012.au,blues,4
data/blues/blues.00013.au,blues,4
data/blues/blues.00014.au,blues,0
data/blues/blues.00015.au,blues,2
data/blues/blues.00016.au,blues,1
data/blues/blues.00017.au,blues,3
data/blues/blues.00018.au,blues,2
data/blues/blues.00019.au,blues,2
data/blues/blues.00020.au,blues,3
data/blues/blues.00021.au,blues,0
data/blues/blues.00022.au,blues,3
data/blues/blues.00023.au,blues,0
data/blues/blues.00024.au,blues,0
data/blues/blues.00025.au,blues,1
data/blues/blues.00026.au,blues,0
data/blues/blues.00027.au,blues,3
data/blues/blues.00028.au,blues,1
data/blues/blues.00029.au,blues,4
data/blues/blues.00030.au,blues,3
data/blues/blues.00031.au,blues,4
data/blues/blues.00032.au,blues,2
data/blues/blues.00033.au,blues,3
data/blues/blues.00034.au,blues,0
data/blues/blues.00035.au,blues,3
data/blues/blues.00036.au,blues,1
data/blues/blues.00037.au,blues,4
data/blues/blues.00038.au,blues,0
data/blues/blues.00039.au,blues,3
data/blues/blues.00040.au,blues,2
data/blues/blues.00041.au,blues,1
data/blues/blues.00042.au,blues,4
data/blues/blues.00043.au,blues,4
data/blues/blues.00044.au,blues,2
data/blues/blues.00045.au,blues,3
data/blues/blues.00046.au,blues,4
data/blues/blues.00047.au,blues,2
data/blues/blues.00048.au,blues,4
data/blues/blues.00049.au,blues,3
data/blues/blues.00050.au,blues,1
data/blues/blues.00051.au,blues,3
data/blues/blues.00052.au,blues,2
data/blues/blues.00053.au,blues,4
data/blues/blues.00054.au,blues,2
data/blues/blues.00055.au,blues,4
data/blues/blues.00056.au,blues,1
data/blues/blues.00057.au,blues,1
data/blues/blues.00058.au,blues,3
